업종,업종코드,공장규모,용도지역,생산품,대기오염,수질오염,소음/진동여부,생활용수(톤/일),산업용수(톤/일),lon,lat
"기타 전기 변환장치 제조업,에너지 저장장치 제조업",2811928114,소기업,도시지역,무정전전원장치,해당없음,해당없음,무,0,0,126.937808,37.389546
기타 음향기기 제조업,26529,소기업,도시지역,"분배기,증폭기,유니트",해당없음,해당없음,무,0,0,126.944328,37.390055
"기타 전기 변환장치 제조업,발광 다이오드 제조업,기타 반도체소자 제조업,에너지 저장장치 제조업",2.81E+19,소기업,도시지역,태양전지판,해당없음,해당없음,무,0,0,126.936041,37.389963
"사진기, 영사기 및 관련 장비 제조업",27302,소기업,도시지역,의료용카메라부품,해당없음,해당없음,무,0,0,126.896554,37.407406
주형 및 금형 제조업,29294,소기업,도시지역,자동차부품금형,해당없음,해당없음,무,0,0,126.938222,37.385811
"그 외 기타 분류 안된 금속 가공 제품 제조업,피복 및 충전 용접봉 제조업",2599925995,소기업,도시지역,알루미늄조립금속,해당없음,해당없음,무,0,0,126.936801,37.384095
주형 및 금형 제조업,29294,소기업,도시지역,금형부품,해당없음,해당없음,무,0,0,126.937006,37.388782
"방송장비 제조업,기타 무선 통신장비 제조업",2642126429,소기업,도시지역,"RF모듈,중계기",해당없음,해당없음,무,0,0,126.938553,37.391166
"경 인쇄업,오프셋 인쇄업",1811118113,소기업,도시지역,인쇄물,해당없음,해당없음,무,0,0,126.923241,37.400588
"탭, 밸브 및 유사장치 제조업",29133,소기업,도시지역,소방기계 배관부품,해당없음,해당없음,무,0,0,126.936041,37.389963
"자동차용 신품 동력전달장치 제조업,자동차 재제조 부품 제조업",3033130400,소기업,도시지역,"자동차모델프레임,엑셀",해당없음,해당없음,무,0,0,126.921023,37.402424
기체 여과기 제조업,29174,소기업,도시지역,"에어필터, 공기여과기 외",해당없음,해당없음,무,0,0,126.911669,37.411177
"안경 및 안경렌즈 제조업,광학렌즈 및 광학요소 제조업",2719327301,소기업,도시지역,콘텍트렌즈,해당없음,해당없음,무,,,126.938183,37.383008
"그 외 기타 특수목적용 기계 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2929929261,소기업,도시지역,"오일미스트, 압축공기수분제거기",해당없음,해당없음,무,,,126.936041,37.389963
전자부품 실장기판 제조업,26224,소기업,도시지역,혈당측정기용 부품(혈당계),해당없음,해당없음,무,,,126.938553,37.391166
"전자기 측정, 시험 및 분석기구 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업",2.72E+14,소기업,도시지역,전자파 측정계측장비,해당없음,해당없음,무,,,126.934609,37.388157
전자부품 실장기판 제조업,26224,소기업,도시지역,전자부품,해당없음,해당없음,무,,,126.937451,37.388444
컴퓨터 프린터 제조업,26323,소기업,도시지역,3d프린터,해당없음,해당없음,무,,,126.908182,37.396917
"경 인쇄업,오프셋 인쇄업",1811118113,소기업,도시지역,인쇄물,해당없음,해당없음,무,,,126.936041,37.389963
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,"방수, 방열 TAPE",해당없음,해당없음,무,,,126.936179,37.38818
"플라스틱 접착처리 제품 제조업,플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",2229122292,소기업,도시지역,기능성필름,해당없음,해당없음,무,,,126.937002,37.389079
천연 및 혼합조제 조미료 제조업,10742,소기업,도시지역,스프 및 소스,해당없음,해당없음,무,,,126.937189,37.383017
기어 및 동력전달장치 제조업,29142,소기업,도시지역,토르크리미트,해당없음,해당없음,무,,,126.936041,37.389963
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,가로등자동점멸기,해당없음,해당없음,무,,,126.937522,37.388237
"도시락류 제조업,기타 식사용 가공처리 조리식품 제조업",1075110759,소기업,도시지역,도시락 및 식사용조리 식품제조업,해당없음,해당없음,무,,,126.938073,37.388377
전자부품 실장기판 제조업,26224,소기업,도시지역,"PCB ARTWORK, SMT",해당없음,해당없음,무,,,126.937312,37.386325
의료용품 및 기타 의약 관련제품 제조업,21300,소기업,도시지역,신속진단키트,해당없음,해당없음,무,0.5,,126.938076,37.388972
"물질 검사, 측정 및 분석기구 제조업",27213,중기업,도시지역,자동차배기가스측정기 등,해당없음,해당없음,무,,,126.891849,37.419274
"표면광택제 및 실내가향제 제조업,그 외 기타 분류 안된 화학제품 제조업",2042420499,소기업,도시지역,친환경탈취제,해당없음,해당없음,무,,,126.909392,37.406164
기타 무선 통신장비 제조업,26429,소기업,도시지역,무선인터넷 이동통신단말기,해당없음,해당없음,무,,,126.939838,37.385762
육류 포장육 및 냉동육 가공업 (가금류 제외),10122,소기업,도시지역,우육(포장육),해당없음,2종,무,,2,126.886681,37.404394
"전자기 측정, 시험 및 분석기구 제조업,물질 검사, 측정 및 분석기구 제조업,기기용 자동측정 및 제어장치 제조업",2.72E+14,소기업,도시지역,연소기기 시험 계측장비,해당없음,해당없음,무,,,126.936041,37.389963
화장품 제조업,20423,소기업,도시지역,"화장품충진,실링,슈링크랩",해당없음,해당없음,무,,,126.938219,37.382053
그 외 기타 봉제의복 제조업,14199,소기업,도시지역,친환경 기능성 우의,해당없음,해당없음,무,,,126.936003,37.38461
"기타 전기 변환장치 제조업,전시 및 광고용 조명장치 제조업",2811928423,소기업,도시지역,"전원공급장치, LED조명",해당없음,해당없음,무,,,126.939437,37.387732
"유선 통신장비 제조업,기타 주변기기 제조업,기타 무선 통신장비 제조업,전자기 측정, 시험 및 분석기구 제조업,물질 검사, 측정 및 분석기구 제조업,기타 측정, 시험, 항해, 제어 및 정밀기기 제조업,기타 가정용 전기기기 제조업",2.64E+34,소기업,도시지역,광 전송장비,해당없음,해당없음,무,,,126.939838,37.385762
"체조, 육상 및 체력단련용 장비 제조업",33301,소기업,도시지역,운동기구,해당없음,해당없음,무,,,126.937983,37.389926
"편조의복 제조업,침구 및 관련제품 제조업,천막, 텐트 및 유사 제품 제조업,기타 직물제품 제조업,그 외 기타 분류 안된 섬유제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,가죽의복 제조업,그 외 기타 봉제의복 제조업,모피제품 제조업,그 외 기타 의복액세서리 제조업,가방 및 기타 보호용 케이스 제조업",1.43E+69,소기업,도시지역,"가죽의복,모포,의류등",해당없음,해당없음,무,0,0,126.972984,37.391272
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,수배전반판넬,해당없음,해당없음,무,0,0,126.943616,37.391698
그 외 기타 의료용 기기 제조업,27199,소기업,도시지역,수액세트,해당없음,해당없음,유,0,0,126.973316,37.396735
"기타 산업용 유리제품 제조업,디스플레이 장치용 유리 제조업",2312923122,소기업,도시지역,"시계,캠코더,엔코더유리",해당없음,해당없음,무,0,0,126.942553,37.389391
디스플레이 제조용 기계 제조업,29272,소기업,도시지역,자외선 세정기,해당없음,해당없음,무,0,0,126.972984,37.391272
"기타 전기 변환장치 제조업,전자기 측정, 시험 및 분석기구 제조업,물질 검사, 측정 및 분석기구 제조업,에너지 저장장치 제조업",2.81E+19,소기업,도시지역,파워서플라이,해당없음,해당없음,무,0,0,126.969938,37.396841
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,전자부품,해당없음,해당없음,무,0,0,126.943423,37.389362
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,전자부품,해당없음,해당없음,무,0,0,126.96757,37.401515
"경 인쇄업,오프셋 인쇄업",1811118113,소기업,도시지역,경인쇄,해당없음,해당없음,무,0,0,126.973106,37.403843
"정형외과용 및 신체보정용 기기 제조업,기타 광학기기 제조업",2719227309,소기업,도시지역,광학계측시스템,해당없음,해당없음,무,0,0,126.96757,37.401515
기타 무선 통신장비 제조업,26429,소기업,도시지역,하이패스단말기,해당없음,해당없음,무,0,0,126.948816,37.373588
"안경 및 안경렌즈 제조업,광학렌즈 및 광학요소 제조업",2719327301,소기업,도시지역,하드콘텍트렌즈,해당없음,해당없음,무,0,0,126.957689,37.404672
"기타 무선 통신장비 제조업,속도계 및 적산계기 제조업,기기용 자동측정 및 제어장치 제조업,산업처리공정 제어장비 제조업,전기회로 접속장치 제조업",2.64E+24,소기업,도시지역,"무전기, 수위조절기, 유량계, 수도미터기, 원격검침기",해당없음,해당없음,무,0,0,126.970959,37.398183
기타 가정용 전기기기 제조업,28519,소기업,도시지역,칫솔살균기,해당없음,해당없음,무,,,126.971017,37.39886
"그 외 기타 전자부품 제조업,전자감지장치 제조업,에너지 저장장치 제조업,기타 전기 변환장치 제조업",2.63E+19,소기업,도시지역,전원공급장치,해당없음,해당없음,무,,,126.97244,37.39306
산업처리공정 제어장비 제조업,27216,소기업,도시지역,산업기계용콘트롤러,해당없음,해당없음,무,,,126.97244,37.39306
빵류 제조업,10712,소기업,도시지역,케익시트,해당없음,해당없음,무,,,126.954065,37.367093
"기타 무선 통신장비 제조업,유선 통신장비 제조업",2642926410,소기업,도시지역,이동통신중계기,해당없음,해당없음,무,,,126.945255,37.388414
그 외 기타 식료품 제조업,10799,소기업,도시지역,카레,해당없음,5종,무,,,126.94583,37.384428
교통 신호장치 제조업,28903,소기업,도시지역,LED조명장치,해당없음,해당없음,무,,,126.956312,37.368707
일반용 전기 조명장치 제조업,28422,소기업,도시지역,LED조명,해당없음,해당없음,무,,,126.959189,37.37131
"산업용 냉장 및 냉동 장비 제조업,주방용 전기기기 제조업",2917128511,소기업,도시지역,냉온수기 및 부품,해당없음,해당없음,무,,,126.943104,37.386332
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,네트워크 모듈,해당없음,해당없음,무,,,126.969176,37.401375
"전기회로 개폐, 보호장치 제조업,기타 주변기기 제조업,전기회로 접속장치 제조업,전자 응용 절삭기계 제조업",2.81E+19,중기업,도시지역,"접속반,Pulse센서,AMI모뎀",해당없음,해당없음,무,,,126.974757,37.397099
"기타 가정용 전기기기 제조업,기타 주변기기 제조업",2851926329,소기업,도시지역,"가전제품, 컴퓨터주변기기",해당없음,해당없음,무,,,126.944074,37.387242
"그 외 기타 특수목적용 기계 제조업,전구 및 램프 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2.93E+14,소기업,도시지역,경화기 외,해당없음,해당없음,무,,,126.950331,37.368537
"화학 살균.살충제 및 농업용 약제 제조업,생물 살균.살충제 및 식물보호제 제조업",2032120322,소기업,도시지역,클린나노,해당없음,해당없음,무,,,126.951145,37.370112
커피 가공업,10791,소기업,도시지역,커피(BARA 100),해당없음,해당없음,무,,,126.967597,37.403668
"전기회로 개폐, 보호장치 제조업,전기회로 접속장치 제조업",2812128122,소기업,도시지역,전력효율 개선장치,해당없음,해당없음,무,,,126.944402,37.389605
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,DATA LOGGER,해당없음,해당없음,무,,,126.968309,37.399485
자전거 및 환자용 차량 제조업,31991,소기업,도시지역,"자전거부품, 조립",해당없음,해당없음,무,,,126.962268,37.398585
"일반용 전기 조명장치 제조업,육상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업,전시 및 광고용 조명장치 제조업,기타 조명장치 제조업",2.84E+24,소기업,도시지역,LED 경관조명,해당없음,해당없음,무,,,126.942553,37.389391
그 외 기타 의료용 기기 제조업,27199,소기업,도시지역,조직수복용 의료기기,해당없음,해당없음,무,,,126.969136,37.398483
"방송장비 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업",2.64E+14,소기업,도시지역,"아이솔레이터, 스위치 등",해당없음,해당없음,무,,,126.941907,37.385573
"안전유리 제조업,기타 판유리 가공품 제조업",2311223119,소기업,도시지역,북층유리,해당없음,해당없음,무,1,0.01,126.937485,37.396454
의료용품 및 기타 의약 관련제품 제조업,21300,소기업,도시지역,일회용내시경생검용기구,해당없음,해당없음,무,,,126.969176,37.401375
반도체 제조용 기계 제조업,29271,중기업,도시지역,반도체 제조용 디스펜서,해당없음,해당없음,무,1,,126.964807,37.397102
그 외 기타 전기장비 제조업,28909,소기업,도시지역,은동이온살균장치,해당없음,해당없음,무,,,126.966774,37.401886
"기타 무선 통신장비 제조업,컴퓨터 제조업",2642926310,소기업,도시지역,"컴퓨터, 무선통신부품",해당없음,해당없음,무,,,126.972434,37.396817
"탭, 밸브 및 유사장치 제조업",29133,소기업,도시지역,자동밸브,해당없음,해당없음,무,,,126.953098,37.370066
"배전반 및 전기 자동제어반 제조업,산업처리공정 제어장비 제조업",2812327216,소기업,도시지역,"전기전자제어기, 배전반",해당없음,해당없음,무,,,126.971023,37.397616
"산업용 로봇 제조업,배전반 및 전기 자동제어반 제조업,금속 절삭기계 제조업",2.93E+14,중기업,도시지역,"산업용 로봇, CNC 등",해당없음,해당없음,무,6,,126.965476,37.400217
"전시 및 광고용 조명장치 제조업,컴퓨터 제조업,유선 통신장비 제조업,방송장비 제조업,기타 무선 통신장비 제조업,비디오 및 기타 영상기기 제조업,기타 음향기기 제조업,전기경보 및 신호장치 제조업,교통 신호장치 제조업,놀이터용 장비 제조업",2.84E+49,소기업,도시지역,"차량용 음성안내장치, LED전광판 차량용CCTV, 버스정보 안내장치",해당없음,해당없음,무,,,126.972984,37.391272
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,PCB 코팅 등,해당없음,해당없음,무,,,126.942553,37.389391
"배전반 및 전기 자동제어반 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업,컴퓨터 제조업,유선 통신장비 제조업,기타 무선 통신장비 제조업,교통 신호장치 제조업",2.81E+34,소기업,도시지역,교통신호제어기,해당없음,해당없음,무,,,126.966774,37.401886
"전기회로 개폐, 보호장치 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업,전기회로 접속장치 제조업,배전반 및 전기 자동제어반 제조업",2.81E+24,소기업,도시지역,"전기회로 개폐, 보호 및 접속장치",해당없음,해당없음,무,,,126.942553,37.389391
"기타 인쇄업,문구용 종이제품 제조업",1811917901,소기업,도시지역,전산용지 등,해당없음,해당없음,무,,,126.950245,37.368212
무인 항공기 및 무인 비행장치 제조업,31312,소기업,도시지역,드론,해당없음,해당없음,무,,,126.969136,37.398483
산업처리공정 제어장비 제조업,27216,소기업,도시지역,탈수 및 배수장치,해당없음,해당없음,무,,,126.971652,37.391287
"기타 조명장치 제조업,전구 및 램프 제조업",2842928410,소기업,도시지역,"SMPS, LED바",해당없음,해당없음,무,,,126.96757,37.401515
그 외 기타 전자부품 제조업,26299,소기업,도시지역,"전자통신장비, 영상/음향통신장비",해당없음,해당없음,무,,,126.96757,37.401515
전자 응용 절삭기계 제조업,29221,중기업,도시지역,절삭용 레이저 장비,해당없음,해당없음,무,15,,126.949175,37.374546
경 인쇄업,18111,소기업,도시지역,학습지,해당없음,해당없음,무,,,126.973705,37.393089
"유선 통신장비 제조업,기타 무선 통신장비 제조업",2641026429,소기업,도시지역,"인터넷전화단말기, 무선공유기",해당없음,해당없음,무,,,126.968859,37.398084
"오락 및 스포츠용 보트 건조업,천막, 텐트 및 유사 제품 제조업,직물포대 제조업,기타 직물제품 제조업,그 외 기타 분류 안된 섬유제품 제조업,기타 플라스틱 발포 성형제품 제조업,액체 여과기 제조업,합성수지선 건조업,기타 선박 건조업",3.11E+44,소기업,도시지역,"고무보트, 오탁방지막, 에어텐트 등",해당없음,해당없음,무,,,126.97061,37.393134
기타 인쇄업,18119,소기업,도시지역,기타 인쇄물,해당없음,해당없음,무,,,126.972984,37.391272
"배전반 및 전기 자동제어반 제조업,산업처리공정 제어장비 제조업,전기회로 접속장치 제조업",2.81E+14,소기업,도시지역,자동제어반 및 프로세스제어반,해당없음,해당없음,무,,,126.968883,37.393903
기타 인쇄업,18119,소기업,도시지역,인쇄물,해당없음,해당없음,무,,,126.948786,37.374065
"그 외 기타 전자부품 제조업,전자기 측정, 시험 및 분석기구 제조업,전시용 모형 제조업",2.63E+14,소기업,도시지역,코딩 교육 키트/과학모형/출판물,해당없음,해당없음,무,,,126.966774,37.401886
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,승강기제어반,해당없음,해당없음,무,,,126.97244,37.39306
기타 주변기기 제조업,26329,소기업,도시지역,기계식 키보드,해당없음,해당없음,무,,,126.970411,37.40026
그 외 기타 의료용 기기 제조업,27199,소기업,도시지역,일회용약물주입기,해당없음,해당없음,무,,,126.965192,37.405278
그 외 기타 의료용 기기 제조업,27199,소기업,도시지역,"의료기기, 미용기기",해당없음,해당없음,무,,,126.966774,37.401886
기타 무선 통신장비 제조업,26429,소기업,도시지역,"무선통신장비, 안테나자동추적장치",해당없음,해당없음,무,,,126.969136,37.398483
"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업,기타 무선 통신장비 제조업",2721926429,소기업,도시지역,특정소출력무선기기,해당없음,해당없음,무,,,126.969176,37.401375
기타 직물제품 제조업,13229,소기업,도시지역,블라인드,해당없음,해당없음,무,0.1,,126.969609,37.397811
"전시 및 광고용 조명장치 제조업,기타 산업용 유리제품 제조업",2842323129,소기업,도시지역,"경관조명, 렌즈 유리 가공",해당없음,해당없음,유,0.1,,126.948859,37.372885
그 외 기타 전자부품 제조업,26299,소기업,도시지역,"코딩블록, 길안내시스템",해당없음,해당없음,무,,,126.963143,37.398205
"철도차량 부품 및 관련 장치물 제조업,방송장비 제조업,기타 무선 통신장비 제조업,산업처리공정 제어장비 제조업",3.12E+19,소기업,도시지역,철도차량 방송표시제어장치,해당없음,해당없음,무,,,126.969136,37.398483
"기타 무선 통신장비 제조업,유선 통신장비 제조업",2642926410,소기업,도시지역,유무선통신기기,해당없음,해당없음,무,,,126.969136,37.398483
"볼트 및 너트류 제조업,그 외 금속파스너 및 나사제품 제조업,그 외 기타 분류 안된 금속 가공 제품 제조업",2.59E+14,소기업,도시지역,나사제품,해당없음,해당없음,유,0,0,126.938759,37.389393
"금속탱크 및 저장용기 제조업,압축 및 액화 가스용기 제조업,공기 조화장치 제조업",2.51E+14,소기업,도시지역,"금속탱크,공조기",해당없음,해당없음,무,10,0,126.950135,37.369635
여자용 겉옷 제조업,14112,소기업,도시지역,"자켓,코트,바지",해당없음,해당없음,유,5,0,126.946509,37.388372
"그 외 기타 일반목적용 기계 제조업,증류기, 열교환기 및 가스발생기 제조업,자동차용 신품 조향장치 및 현가 장치 제조업,자동차용 신품 제동장치 제조업,그 외 자동차용 신품 부품 제조업,자동차 재제조 부품 제조업",2.92E+29,소기업,도시지역,자동차부품제조,해당없음,해당없음,무,0,0,126.936041,37.389963
"메모리용 전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업",2611126112,소기업,도시지역,반도체집적회로,해당없음,해당없음,유,0,0,126.936041,37.389963
그 외 기타 플라스틱 제품 제조업,22299,소기업,도시지역,카세트테이프 케이스,해당없음,해당없음,유,0,0,126.935147,37.388504
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,"배전반, 자동제어반",해당없음,해당없음,무,0,0,126.970959,37.398183
"경 인쇄업,오프셋 인쇄업,기타 인쇄업",1.81E+14,소기업,도시지역,인쇄물,해당없음,해당없음,무,0,0,126.964755,37.404977
주형 및 금형 제조업,29294,소기업,도시지역,금형,해당없음,해당없음,유,0,0,126.936244,37.392334
기타 비철금속 주조업,24329,소기업,도시지역,치과용합금(금),해당없음,해당없음,무,0,0,126.906277,37.415308
"그 외 기타 특수목적용 기계 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2929929261,소기업,도시지역,자동화전송기,해당없음,해당없음,무,0,0,126.936041,37.389963
"플라스틱 포대, 봉투 및 유사제품 제조업",22231,소기업,도시지역,정전기 방지 비닐봉투,해당없음,해당없음,무,0,0,126.936181,37.38399
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,하네스 외1종,해당없음,해당없음,무,9,0,126.907155,37.417101
"편조의복 제조업,그 외 기타 분류 안된 섬유제품 제조업",1430013999,소기업,도시지역,"니트류,상의카라,소매",해당없음,해당없음,무,0,0,126.970959,37.398183
"기타 인쇄업,오프셋 인쇄업,플라스틱 포대, 봉투 및 유사제품 제조업,포장용 플라스틱 성형용기 제조업",1.81E+19,중기업,도시지역,"플라스틱포대,봉투",해당없음,해당없음,무,0,0,126.971276,37.394807
"수동식 식품 가공기기 및 금속 주방용기 제조업,기타 가정용 전기기기 제조업",2599228519,소기업,도시지역,약탕기외1종,해당없음,해당없음,무,0,0,126.936041,37.389963
주형 및 금형 제조업,29294,중기업,도시지역,FPCB금형,해당없음,해당없음,유,0,0,126.941782,37.387221
"그 외 기타 전자부품 제조업,전자감지장치 제조업,기타 무선 통신장비 제조업",2.63E+14,소기업,도시지역,"콘트롤라,광센서장치",해당없음,해당없음,무,0,0,126.918097,37.403253
빵류 제조업,10712,소기업,도시지역,"도너츠,빵",해당없음,해당없음,무,0,0,126.956079,37.370066
유선 통신장비 제조업,26410,소기업,도시지역,카드식공중전화기,해당없음,해당없음,무,0,0,126.96757,37.401515
그 외 기타 의료용 기기 제조업,27199,소기업,도시지역,의료기기,해당없음,해당없음,무,0,0,126.942553,37.389391
시계 및 시계부품 제조업,27400,소기업,도시지역,"시계 (벽시계,탁상시계)",해당없음,해당없음,무,0,0,126.954813,37.377515
그 외 기타 전기장비 제조업,28909,소기업,도시지역,정전기제거장치,해당없음,해당없음,무,0,0,126.93582,37.389591
텔레비전 제조업,26511,소기업,도시지역,LCD TV,해당없음,해당없음,무,0,0,126.96757,37.401515
"방송장비 제조업,이동전화기 제조업,기타 무선 통신장비 제조업,에너지 저장장치 제조업,기타 전기 변환장치 제조업,배전반 및 전기 자동제어반 제조업",2.64E+29,소기업,도시지역,무정전전원장치,해당없음,해당없음,무,0,0,126.936041,37.389963
"육류 기타 가공 및 저장처리업 (가금류 제외),육류 포장육 및 냉동육 가공업 (가금류 제외)",1012910122,소기업,도시지역,육류가공및돈까스류,해당없음,해당없음,유,0,0,126.938503,37.384308
광섬유 케이블 제조업,28301,소기업,도시지역,광섬유케이블,해당없음,해당없음,무,0,0,126.936041,37.389963
"기타 전기 변환장치 제조업,에너지 저장장치 제조업",2811928114,소기업,도시지역,무정전전원공급장치,해당없음,해당없음,무,0,0,126.936041,37.389963
"트레일러 및 세미트레일러 제조업,무기 및 총포탄 제조업,자동차용 금속 압형제품 제조업,그 외 금속 압형제품 제조업,일반철물 제조업,금속 캔 및 기타 포장용기 제조업,피복 및 충전 용접봉 제조업,그 외 기타 분류 안된 금속 가공 제품 제조업,기타 무선 통신장비 제조업,유압기기 제조업,기체 펌프 및 압축기 제조업,기타 물품 취급장비 제조업,용기 세척, 포장 및 충전기 제조업,동력식 수지공구 제조업,차체 및 특장차 제조업,자동차 구조 및 장치 변경업 ,자동차 엔진용 신품 부품 제조업,자동차 차체용 신품 부품 제조업,자동차용 신품 조향장치 및 현가 장치 제조업,자동차용 신품 제동장치 제조업,그 외 자동차용 신품 부품 제조업,자동차 재제조 부품 제조업",3.02E+109,소기업,도시지역,금속가공품 외,해당없음,해당없음,무,0,0,126.934219,37.389397
"그 외 기타 특수목적용 기계 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2929929261,소기업,도시지역,자동피더,해당없음,해당없음,무,0,0,126.936041,37.389963
"고무 의류 및 기타 위생용 비경화 고무제품 제조업,그 외 기타 고무제품 제조업",2219322199,소기업,도시지역,실리콘 및 고무제품,해당없음,해당없음,무,0,0,126.932431,37.382488
"남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",1.41E+19,중기업,도시지역,남자용정장,해당없음,해당없음,무,0,0,126.93989,37.377265
그 외 기타 전자부품 제조업,26299,소기업,도시지역,CCFL전극,해당없음,해당없음,무,0,0,126.937001,37.386737
"셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",1.42E+24,소기업,도시지역,"학생복, 근무복",해당없음,해당없음,무,0,0,126.919988,37.401351
"방전램프용 안정기 제조업,배전반 및 전기 자동제어반 제조업,전구 및 램프 제조업,일반용 전기 조명장치 제조업,전시 및 광고용 조명장치 제조업,기타 조명장치 제조업",2.81E+29,소기업,도시지역,LED조명기기,해당없음,해당없음,무,0,0,126.937001,37.386737
"물질 검사, 측정 및 분석기구 제조업,기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2721327219,소기업,도시지역,"인장시험기, 압축시험기, 강도시험기",해당없음,해당없음,무,0,0,126.935986,37.386619
빵류 제조업,10712,소기업,도시지역,"밀가루, 계란 등",해당없음,해당없음,무,0.2,,126.936801,37.384095
빵류 제조업,10712,소기업,도시지역,"제과,제빵",해당없음,해당없음,무,,,126.939748,37.385698
"그 외 기타 분류 안된 화학제품 제조업,바이오 연료 및 혼합물 제조업",2049920495,소기업,도시지역,새집증후군시공제,해당없음,해당없음,무,,,126.924902,37.391015
그 외 기타 분류 안된 섬유제품 제조업,13999,소기업,도시지역,섬유필터,해당없음,해당없음,무,,,126.914285,37.402848
"기타 무선 통신장비 제조업,유선 통신장비 제조업,방송장비 제조업,일차전지 제조업,일반용 전기 조명장치 제조업,디지털 적층 성형기계 제조업,고무, 화학섬유 및 플라스틱 성형기 제조업",2.64E+34,소기업,도시지역,"무전기, LED조명기기,프라스틱사출",해당없음,해당없음,무,,,126.937333,37.388794
일반용 전기 조명장치 제조업,28422,소기업,도시지역,조명기구,해당없음,해당없음,무,,,126.938178,37.384936
"육류 기타 가공 및 저장처리업 (가금류 제외),육류 포장육 및 냉동육 가공업 (가금류 제외)",1012910122,소기업,도시지역,양념육,해당없음,해당없음,무,,,126.934569,37.390995
